text,class
"Раньше доставка была намного быстрее, а теперь приходится ждать часами. Что случилось?",1
"Заказываю уже третий раз, и каждый раз доставка занимает гораздо больше времени, чем раньше. Сервис ухудшился.",1
"Помню, как раньше заказ приезжал за 30 минут, а сейчас и за час не управляются. Очень разочарован.",1
"Доставка стала такой медленной! Раньше было гораздо лучше и быстрее.",1
"Что-то у вас с доставкой стало совсем плохо. Раньше привозили быстро, а теперь вечно опаздывают.",1
"Сервис доставки деградировал. Раньше всё привозили вовремя, а теперь вечно задержки.",1
"Куда делась ваша быстрая доставка? Раньше за 20 минут справлялись, а теперь и за час не успеваете.",1
"Заметил, что доставка стала занимать гораздо больше времени. Раньше было намного удобнее.",1
"Печально, но ваша когда-то молниеносная доставка превратилась в черепаху. Раньше было в разы быстрее.",1
"Доставка стала ужасно медленной. Куда делась ваша прежняя оперативность?",1
"Вы обещаете доставку за 40 минут, но я жду уже второй час. Это просто обман!",2
"Указано время доставки 30-45 минут, но ни разу не уложились. Всегда опаздываете как минимум на час.",2
"Заявленное время доставки - шутка? Никогда не привозите вовремя, всегда с большим опозданием.",2
"Перестаньте указывать нереальное время доставки. Вы НИКОГДА не укладываетесь в обещанные сроки.",2
"Ваше 'время доставки' совершенно не соответствует действительности. Всегда жду в два раза дольше.",2
"Почему вы не можете честно указать реальное время доставки? Постоянно опаздываете на час-полтора.",2
"Указанное время доставки - чистой воды обман. Всегда приходится ждать гораздо дольше.",2
"Ни разу не получил заказ в обещанное время. Всегда приходится ждать намного дольше заявленного.",2
"Вы серьезно думаете, что кто-то верит в ваше заявленное время доставки? Оно никогда не соблюдается.",2
"Прекратите указывать нереалистичное время доставки. Вы постоянно опаздываете, и это раздражает.",2
"Каждый раз одно и то же - делаю заказ, а курьер опаздывает на полчаса, а то и больше.",3
"Невозможно рассчитывать на вашу доставку. Постоянные опоздания уже стали нормой.",3
"Ваши курьеры что, специально опаздывают? Ни одного заказа вовремя, вечно задержки.",3
"Сколько ни заказываю, всегда одно и то же - курьер опаздывает минимум на 20 минут.",3
"У вас там часы сломались? Почему каждый раз приходится ждать дольше обещанного?",3
"Ваша пунктуальность оставляет желать лучшего. Постоянные опоздания уже достали.",3
"Может, вам стоит пересмотреть логистику? Каждый заказ с опозданием - это уже система.",3
"Я устал от ваших вечных опозданий. Ни разу не привезли заказ вовремя за последний месяц.",3
"Похоже, у вас вошло в привычку опаздывать с доставкой. Каждый раз одно и то же.",3
"Ваши регулярные опоздания просто выводят из себя. Можно хоть раз привезти заказ вовремя?",3
"Где мой заказ? Почему нельзя узнать точное время доставки?",4
"Невозможно понять, когда приедет курьер. Почему нет нормальной системы отслеживания?",4
"Сколько ещё ждать доставку? Никакой информации о реальном времени прибытия.",4
"Я в полном неведении о том, когда прибудет мой заказ. Можно как-то это исправить?",4
"Почему нельзя сделать нормальное отслеживание заказа? Я понятия не имею, когда он приедет.",4
"Абсолютно непонятно, в какое время ожидать курьера. Нет никакой возможности отследить.",4
"Хотелось бы знать точное время доставки, а не гадать на кофейной гуще.",4
"Как узнать, когда прибудет заказ? Нет никакой информации о реальном времени доставки.",4
"Долго ли ещё ждать? Почему нельзя показывать актуальное время прибытия курьера?",4
"Я в полном неведении о статусе моего заказа. Почему нельзя сделать нормальную систему отслеживания?",4
"Было бы здорово видеть курьера на карте, чтобы понимать, когда ждать заказ.",5
"Почему нельзя добавить функцию отображения курьера на карте? Это бы очень помогло.",5
"Хотелось бы видеть местоположение курьера в реальном времени, как у других сервисов доставки.",5
"Отсутствие возможности отследить курьера на карте очень неудобно. Можете это исправить?",5
"Добавьте, пожалуйста, функцию отображения курьера на карте. Это значительно улучшит сервис.",5
"Если бы курьер отображался на карте, было бы гораздо удобнее планировать время.",5
"Очень не хватает возможности видеть курьера на карте. Это бы решило проблему с ожиданием.",5
"Почему у вас нет функции отслеживания курьера на карте? Это стандарт для современной доставки.",5
"Было бы супер, если бы можно было следить за перемещением курьера на карте в приложении.",5
"Добавьте отображение курьера на карте, чтобы клиенты могли лучше планировать свое время.",5
"Почему вы не доставляете в мой район? Я живу в городе, а не на краю света!",6
"Расширьте зону доставки! Обидно, что не могу заказать у вас, живя в пределах города.",6
"Ваша зона доставки слишком ограничена. Я живу всего в паре километров от границы, но заказать не могу.",6
"Очень разочарован, что вы не доставляете по моему адресу. Неужели нельзя расширить зону?",6
"Как так получается, что вы не доставляете в мой район? Он ведь не такой уж и отдаленный.",6
"Абсурд какой-то! Живу в черте города, а доставки нет. Пересмотрите свою политику!",6
"Почему вы игнорируете целые районы города? Расширьте зону доставки, пожалуйста!",6
"Не понимаю, почему вы не доставляете по моему адресу. Я не так уж далеко живу от центра.",6
"Ваша ограниченная зона доставки — это просто безобразие. Теряете клиентов из-за этого!",6
"Странно, что вы не доставляете в мой район. Он вполне обычный, не окраина какая-нибудь.",6
"Заказал блюдо, а его не оказалось в наличии. И никто даже не предупредил!",7
"Почему нельзя сообщить заранее, что товара нет в наличии? Узнал об этом только при получении заказа.",7
"Обидно, когда из заказа пропадают товары без предупреждения. Хотя бы замену предложили бы!",7
"Сделал заказ, а половины блюд не оказалось. И ни слова о замене или предупреждении!",7
"Неприятно, когда узнаёшь об отсутствии товара только при получении. Почему нельзя предупредить?",7
"Заказал несколько позиций, а привезли только часть. Без предупреждений и предложений замены.",7
"Ожидал полный заказ, а получил урезанный вариант. Никто даже не попытался предложить альтернативу.",7
"Почему вы не сообщаете об отсутствии товара сразу? Неприятно узнавать об этом постфактум.",7
"Заказ пришел неполным, и никто даже не удосужился предупредить или предложить замену.",7
"Очень разочарован тем, что товары исчезают из заказа без уведомления. Хотя бы замену предлагайте!",7
"Ваша минимальная сумма заказа просто космическая! Не у всех есть возможность столько тратить на доставку.",8
"Почему у вас такая высокая минимальная сумма заказа? Это отпугивает клиентов.",8
"Минимальная сумма заказа слишком большая. Не все готовы столько тратить на одну доставку.",8
"Ваш порог минимального заказа нереально высокий. Это очень неудобно для клиентов.",8
"Зачем устанавливать такую высокую минимальную сумму? Это ограничивает возможности заказа.",8
"Минимальная сумма заказа у вас просто заоблачная. Может, стоит её пересмотреть?",8
"Не могу сделать небольшой заказ из-за вашей высокой минимальной суммы. Это очень неудобно.",8
"Ваша минимальная сумма заказа отпугивает клиентов. Не все готовы тратить столько на доставку.",8
"Почему нельзя сделать минимальную сумму заказа более доступной? Сейчас она слишком высока.",8
"Ваша минимальная сумма заказа просто огромная. Это очень ограничивает в выборе.",8
"Очень неудобно, что цена постоянно меняется, пока я выбираю товары. Никогда не знаешь, сколько в итоге придется заплатить.",9
"Только что закончил формировать заказ, а сумма уже выросла на 200 рублей! Это какое-то мошенничество!",9
"Хотел сделать небольшой заказ, но из-за постоянного изменения цен пришлось добавлять лишние товары. Очень раздражает.",9
"Никогда не угадаешь итоговую стоимость. Цены скачут как сумасшедшие, пока набираешь корзину.",9
"Ужасный сервис! Добавляю товары, а сумма заказа то растет, то уменьшается. Как так можно работать?",9
"Складываю товары в корзину, а цена заказа постоянно меняется. В итоге переплатил больше, чем планировал.",9
"Сложно рассчитать бюджет на заказ, когда стоимость меняется каждые пять минут. Это очень неудобно.",9
"Только собрался оформить заказ, как увидел, что сумма выросла. Пришлось убирать товары, чтобы уложиться в бюджет.",9
"Не понимаю, почему нельзя сделать фиксированные цены? Постоянные изменения стоимости заказа выводят из себя.",9
"Зашел сделать заказ, а в процессе сумма выросла на 15%. Пришлось отказаться от покупки. Больше сюда не вернусь.",9
"Минимальная сумма заказа просто космическая! Не у всех есть возможность тратить столько на одну доставку.",10
"Вчера минимальная сумма была 1000 рублей, сегодня уже 1500. Как так можно? Определитесь уже!",10
"Из-за наличия минимальной суммы заказа приходится покупать лишнее. Это нечестно по отношению к клиентам.",10
"Хотел заказать подарок другу, а тут минималка в три раза дороже самого подарка. Пришлось отказаться.",10
"Постоянно меняющаяся минимальная сумма заказа сбивает с толку. Никогда не знаешь, сколько придется потратить в итоге.",10
"Зачем вообще нужна минимальная сумма заказа? Дайте людям покупать столько, сколько им нужно!",10
"Минимальная только здесь чем в других магазинах. Теряете клиентов из-за этого.",10
"Сделал заказ вчера, а сегодня хотел повторить – оказалось, что минимальная сумма выросла. Очень неудобно.",10
"Ваша минимальная сумма заказа отпугивает новых клиентов. Я вот точно больше не вернусь из-за этого.",10
"Ввёл промокод на скидку 15%, но она не применилась к заказу.",26
"Акция '2 по цене 1' не сработала в корзине. Почему?",26
"Скидка на молочные продукты не отобразилась в итоговой сумме.",26
"Промокод из вашей рассылки оказался недействительным.",26
"Обещанная скидка в 20% на первый заказ не сработала.",26
"Скидка дня на овощи не применилась автоматически.",26
"Почему не работает купон на бесплатную доставку?",26
"Накопительная скидка не учитывается при оформлении заказа.",26
"Промокод из мобильного приложения не действует на сайте.",26
"Скидка по карте лояльности не отразилась в чеке.",26
"Акция '3 по цене 2' на напитки не сработала.",26
"Обещанный кешбэк за заказ не начислился на счёт.",26
"Скидка на день рождения не активировалась автоматически.",26
"Промокод на 500 рублей при заказе от 3000 не сработал.",26
"Почему не действует скидка 30% на всю выпечку?",26
"Скидка по промокоду из Instagram не применяется.",26
"Акция 'Счастливые часы' не действует, хотя сейчас нужное время.",26
"Почему система пишет, что мой промокод уже использован, если это мой первый заказ?",26
"Скидка на покупку от 5000 рублей не сработала, хотя в корзине товаров на 6000.",26
"Не могу воспользоваться подарочным сертификатом при оплате.",26
"Скидка по студенческому билету не применилась к заказу.",26
"Акция '1+1=3' на шампуни не работает в корзине.",26
"Почему не сработала скидка 50% на второй товар в категории?",26
"Промокод на бесплатный десерт при заказе от 2000 рублей не действует.",26
"Скидка по промокоду из Telegram-канала не применяется.",26
"Почему не работает скидка 10% при оплате Google Pay?",26
"Акция 'Товар недели' не отражается в цене при добавлении в корзину.",26
"Скидка за самовывоз не учитывается при оформлении заказа.",26
"Промокод на скидку 25% на первый заказ не сработал. Это мой первый заказ!",26
"Почему не применяется скидка 5% за предоплату заказа?",26
"Акция '3 по цене 2' на консервы не работает.",26
"Скидка по промокоду из email-рассылки не действует.",26
"Почему не сработала скидка 15% на заказ после 22:00?",26
"Промокод на бесплатную доставку при заказе от 1500 рублей не применяется.",26
"Скидка 20% на товары для дома не отображается в корзине.",26
"Акция 'Купи 2 получи 3-й в подарок' на косметику не работает.",26
"Почему система не видит мою дисконтную карту при оформлении заказа?",26
"Скидка за отзыв о предыдущем заказе не применилась к новому заказу.",26
"Промокод на скидку 30% на замороженные продукты не действует.",26
"Почему не сработала акция 'Счастливая пятница' с 20% скидкой на всё?",26
"Скидка по промокоду из Facebook не применяется.",26
"Акция '4 по цене 3' на йогурты не отражается в итоговой сумме.",26
"Почему не работает скидка 10% при оплате Apple Pay?",26
"Промокод на скидку 50% на второй товар в чеке не сработал.",26
"Скидка по программе лояльности не учитывается при оформлении заказа.",26
"Акция 'Удвоение баллов' за покупку не сработала.",26
"Почему не применяется скидка 7% за самовывоз из определённых пунктов?",26
"Промокод на бесплатную доставку в течение недели после первого заказа не работает.",26
"Скидка 25% на товары для животных не отображается в корзине.",26
"Почему не сработала акция 'Киберпонедельник' со скидками до 70%?",26
"Бананы пришли перезрелые и почерневшие.",27
