text,class
"Заказ отменили, а деньги до сих пор не вернули. Не работает скидка на корзину для товаров со скидкой с витрины. Приложение зависает на этапе подтверждения заказа. Почему не используют термопакеты для мороженого? Возврат денег длится уже несколько недель. Мясо пришло испорченное, не могу его использовать. Почему не возвращают деньги за отмененный заказ? Йогурт расслоился и имеет странный запах. Доставка была вовремя, но без товара. Что за абсурд? Акционные товары всегда с истекающим сроком годности. Это что, распродажа несвежего?",49 24 42 31 49 40 49 27 13 11
"Укроп весь пожелтел и засох. Заказ перепутан, половина товаров оказалась не моей. Не удается подключить СберСпасибо, пишет ошибку. Овощи оказались гнилыми, срок годности в норме. Не понимаю, почему вы не доставляете в наш район. Он вполне благополучный и легкодоступный. Добавьте, пожалуйста, функцию отображения курьера на карте. Это значительно улучшит сервис. Очень долго ждал, а заказ отменили перед самой доставкой. Почему нельзя сразу показать финальную сумму? Зачем эти игры с ценой?",27 31 45 40 6 5 32 9
"Я понимаю, что доставка стоит денег, но ваша наценка на продукты просто огромная. Очень долго ждал, но заказ отменили перед доставкой. Всё нормально, претензий нет.",12 32 20
"Это не заказ еды, а настоящая игра 'собери корзину нужной стоимости'. Утомительно! Хотелось бы скидку на следующий заказ, как постоянному клиенту.",9 22
"Почему никогда нет нужных позиций на складе? Шпинат весь пожелтел и завял. Платеж не прошел, пришлось платить курьеру наличными. Почему доставка закрывается так рано? Продлите до полуночи. Абсурд какой-то! Живу в черте города, а доставки нет. Пересмотрите свою политику! Ваша зона доставки не охватывает новые жилые комплексы. Это большое упущение. Не положили замороженные продукты в термопакет, всё растаяло. Приложение постоянно зависает, приходится перезагружать. Почему вы привезли не весь заказ? Не хватает нескольких товаров. Это не вписывается ни в одну модную тенденцию.",29 27 48 46 6 6 31 42 13 39
"Прошло уже 45 минут, а курьер так и не выехал. Привезли фрукты, которые уже начали портиться. Молоко оказалось испорченным, хотя срок нормальный. Ваша зона доставки не включает новые районы города. Это большое упущение для бизнеса. Поддержка закрыла моё обращение, даже не разобравшись в проблеме. Доставили хлеб, а он весь раскрошился. Вы его что, в шредере пропустили?",35 40 40 6 30 14
"Приложение неудобное, все функции сложно найти. Почему корзинная скидка не действует на все товары?",41 24
"Заказ не доехал до меня. Куда он делся по пути? Всего несколько видов йогуртов, это всё? В моем заказе отсутствует пачка макарон. Вы забыли её положить? Очень быстрая доставка, все привезли вовремя. Добавьте отображение курьера на карте, это сделает ваш сервис более конкурентоспособным. Курьер сам отменил мой заказ без объяснений.",13 28 13 43 5 38
"Почему не применяется скидка 5% за предоплату заказа? Зависает каждый раз при оформлении заказа. Никогда нет нужных товаров вечером.",26 42 29
"Не нравится, что поиск не работает нормально. Почему курьер отменил мой заказ, я был дома. Заказ собирается очень медленно, прошло уже полчаса. Попробовал использовать код из SMS, но ничего не вышло. Не удается оплатить картой, приходится перезапускать приложение. Указано время доставки 30-45 минут, но ни разу не уложились. Всегда опаздываете как минимум на час. Помидоры все мятые и с пятнами. Не могу понять, какая именно скидка применилась в корзине.",47 38 35 26 48 2 27 25
"Просто супер, доставка заняла меньше часа. Прошу учесть задержку и предоставить скидку.",43 37
